IP_Address,Request_Type,Status_Code,User_Agent,Session_ID,Location,hour,minute,day_of_week,time_since_last,count_in_session,event_rate_per_minute,Anomaly_Flag
84.60.19.30,DELETE,404,Opera,4006,Brazil,17,49,3,0.0,1,0.9999990000010001,0
78.138.137.215,PUT,500,Bot,4534,Germany,21,8,5,0.0,1,0.9999990000010001,0
29.112.214.90,PUT,200,Edge,1041,USA,7,36,4,0.0,1,0.9999990000010001,0
39.50.34.116,PUT,200,Safari,1725,Brazil,7,59,2,0.0,1,0.9999990000010001,0
140.126.138.212,PUT,403,Bot,2778,Brazil,5,4,0,0.0,1,1000000.0,0
140.42.25.1,GET,404,Bot,1716,USA,5,41,6,0.0,1,1000000.0,0
136.35.59.10,GET,301,Safari,1537,USA,4,44,3,0.0,1,0.9999990000010001,0
31.110.123.137,POST,301,Safari,3050,Brazil,2,28,0,0.0,1,1000000.0,0
206.91.211.61,PUT,200,Opera,1312,France,0,20,2,0.0,1,0.9999990000010001,0
103.72.200.79,POST,403,Edge,2741,USA,3,21,2,0.0,1,0.9999990000010001,0
139.170.22.52,PUT,404,Edge,4135,USA,8,33,4,0.0,1,0.9999990000010001,0
131.240.124.59,DELETE,301,Chrome,2397,China,16,47,0,0.0,1,0.9999990000010001,0
104.58.16.34,GET,404,Opera,3539,Brazil,4,23,4,0.0,1,0.9999990000010001,0
186.181.61.135,GET,301,Chrome,3813,France,1,1,5,0.0,1,0.9999990000010001,0
242.73.35.144,POST,301,Firefox,2892,Canada,1,26,3,0.0,1,0.9999990000010001,0
24.37.68.131,POST,403,Opera,4601,Germany,8,15,2,0.0,1,0.9999990000010001,0
222.198.102.117,PUT,403,Chrome,1047,France,22,28,0,0.0,1,0.9999990000010001,0
187.104.65.153,GET,403,Edge,4063,Germany,10,4,3,0.0,1,0.9999990000010001,0
148.80.144.140,PUT,404,Opera,1932,France,16,38,1,0.0,1,0.9999990000010001,0
137.176.244.135,GET,500,Edge,1671,USA,20,15,6,0.0,1,1000000.0,0
190.241.63.69,DELETE,500,Firefox,1070,France,20,36,6,0.0,1,1000000.0,0
180.13.173.92,POST,200,Chrome,1383,Canada,6,35,1,0.0,1,0.9999990000010001,0
36.111.168.151,DELETE,403,Chrome,1063,India,15,44,2,0.0,1,0.9999990000010001,0
111.139.213.185,POST,500,Firefox,4396,Brazil,17,46,1,0.0,1,0.9999990000010001,0
21.91.109.119,GET,301,Firefox,1015,Brazil,12,27,0,0.0,1,0.9999990000010001,0
95.11.114.14,GET,301,Chrome,4358,Brazil,13,5,0,0.0,1,0.9999990000010001,0
115.50.76.41,PUT,301,Chrome,1301,China,6,31,2,0.0,1,0.9999990000010001,0
82.40.146.33,DELETE,301,Firefox,2733,Germany,9,30,5,0.0,1,0.9999990000010001,1
105.145.160.102,POST,200,Edge,4346,Canada,23,12,2,0.0,1,0.9999990000010001,0
94.110.38.196,POST,403,Firefox,1059,Germany,7,30,2,0.0,1,0.9999990000010001,0
94.1.7.134,DELETE,200,Opera,1236,Canada,16,50,1,0.0,1,0.9999990000010001,0
129.51.128.115,POST,404,Bot,3048,Germany,7,44,1,0.0,1,0.9999990000010001,0
57.1.111.154,GET,301,Chrome,3190,Germany,7,31,2,0.0,1,0.9999990000010001,0
28.246.209.124,PUT,403,Safari,4215,Brazil,15,35,3,0.0,1,0.9999990000010001,0
40.220.16.116,GET,404,Edge,1841,Brazil,22,3,4,0.0,1,0.9999990000010001,0
88.94.210.79,DELETE,404,Chrome,2466,USA,6,7,5,0.0,1,0.9999990000010001,0
69.148.100.251,POST,500,Safari,4922,France,0,16,3,0.0,1,0.9999990000010001,0
12.1.245.11,DELETE,404,Edge,4466,Germany,12,58,3,0.0,1,0.9999990000010001,0
89.127.47.118,PUT,301,Edge,1639,Canada,5,53,6,0.0,1,1000000.0,0
125.51.110.226,GET,404,Edge,4470,Brazil,8,21,5,0.0,1,0.9999990000010001,0
233.62.152.97,POST,403,Edge,2983,Germany,12,21,6,0.0,1,1000000.0,0
201.39.34.84,DELETE,301,Edge,1554,Canada,5,18,2,0.0,1,0.9999990000010001,0
98.32.196.176,GET,404,Opera,1191,USA,2,16,5,0.0,1,0.9999990000010001,0
204.86.239.98,DELETE,301,Safari,3989,China,2,58,6,0.0,1,1000000.0,0
56.76.40.82,GET,301,Opera,3861,China,3,14,1,0.0,1,0.9999990000010001,0
242.1.155.33,GET,403,Safari,2414,Canada,21,0,0,0.0,1,0.9999990000010001,0
253.242.210.132,PUT,403,Safari,3798,Germany,2,48,0,0.0,1,1000000.0,0
7.91.31.68,POST,500,Safari,4219,China,3,25,3,0.0,1,0.9999990000010001,0
54.55.15.64,DELETE,403,Safari,2097,France,10,53,0,0.0,1,0.9999990000010001,0
137.147.253.120,DELETE,200,Firefox,1812,Brazil,19,21,4,0.0,1,0.9999990000010001,0
22.14.5.47,DELETE,403,Safari,2839,France,22,15,3,0.0,1,0.9999990000010001,0
72.176.27.163,PUT,500,Firefox,3652,Brazil,21,32,5,0.0,1,0.9999990000010001,0
35.95.49.220,POST,500,Firefox,1282,India,21,49,3,0.0,1,0.9999990000010001,0
248.126.164.167,DELETE,301,Chrome,2025,Germany,3,6,0,0.0,1,1000000.0,0
117.192.26.21,POST,200,Firefox,1568,Canada,16,30,5,0.0,1,0.9999990000010001,0
167.22.33.4,POST,404,Opera,2339,Canada,21,56,4,0.0,1,0.9999990000010001,0
47.154.183.70,DELETE,403,Chrome,3306,USA,10,14,5,0.0,1,0.9999990000010001,0
213.245.27.143,GET,301,Bot,1615,USA,13,41,5,0.0,1,0.9999990000010001,0
168.212.112.63,GET,403,Edge,2995,Brazil,2,19,3,0.0,1,0.9999990000010001,0
22.174.93.107,GET,200,Opera,4599,Germany,6,52,6,0.0,1,1000000.0,0
159.105.146.136,DELETE,403,Chrome,4419,Germany,23,54,6,0.0,1,1000000.0,0
15.187.124.107,POST,500,Safari,3427,India,2,31,1,0.0,1,0.9999990000010001,0
185.5.40.57,PUT,500,Bot,1259,Brazil,14,5,6,0.0,1,1000000.0,0
206.193.161.54,DELETE,404,Safari,3931,Canada,2,52,4,0.0,1,0.9999990000010001,0
206.189.222.127,PUT,404,Safari,1892,India,4,56,1,0.0,1,0.9999990000010001,0
146.185.112.94,POST,200,Chrome,4687,India,13,50,5,0.0,1,0.9999990000010001,0
189.43.79.239,GET,403,Opera,4346,Brazil,12,35,3,0.0,1,0.9999990000010001,0
180.135.53.73,DELETE,500,Firefox,1368,Germany,6,11,2,0.0,1,0.9999990000010001,0
87.78.36.101,POST,500,Safari,3285,Brazil,12,38,0,0.0,1,0.9999990000010001,0
78.10.193.179,POST,200,Opera,4012,Brazil,8,6,2,0.0,1,0.9999990000010001,0
221.27.28.71,GET,404,Opera,1458,Brazil,9,57,6,0.0,1,1000000.0,0
144.35.122.68,DELETE,500,Firefox,1603,Germany,11,39,5,0.0,1,0.9999990000010001,0
190.47.137.212,GET,301,Firefox,1409,Canada,15,51,3,0.0,1,0.9999990000010001,0
152.106.155.131,DELETE,301,Opera,2095,Brazil,1,22,1,0.0,1,0.9999990000010001,0
67.165.199.213,PUT,404,Firefox,2976,USA,4,6,5,0.0,1,0.9999990000010001,0
156.221.131.181,PUT,200,Bot,4024,Brazil,7,39,0,0.0,1,0.9999990000010001,0
28.107.110.13,PUT,301,Chrome,4778,France,16,17,2,0.0,1,0.9999990000010001,0
127.154.33.60,DELETE,500,Opera,4546,China,18,20,3,0.0,1,0.9999990000010001,0
104.134.36.196,POST,404,Firefox,3578,Brazil,23,11,2,0.0,1,0.9999990000010001,0
50.71.159.232,DELETE,404,Bot,3568,USA,18,1,0,0.0,1,0.9999990000010001,1
131.130.53.144,GET,301,Firefox,4157,Germany,23,2,3,0.0,1,0.9999990000010001,0
203.201.167.97,PUT,500,Edge,1440,Brazil,19,5,5,0.0,1,0.9999990000010001,1
27.177.83.196,PUT,500,Edge,3509,India,23,11,1,0.0,1,0.9999990000010001,0
170.67.93.49,GET,301,Bot,3024,China,22,2,1,0.0,1,0.9999990000010001,1
249.225.214.160,PUT,404,Opera,4115,France,8,27,2,0.0,1,0.9999990000010001,0
192.254.204.61,PUT,200,Firefox,4816,Canada,22,32,5,0.0,1,0.9999990000010001,0
198.71.57.199,POST,403,Safari,4667,India,8,41,1,0.0,1,0.9999990000010001,0
240.91.114.94,PUT,301,Safari,2254,Germany,7,18,2,0.0,1,0.9999990000010001,0
192.196.20.209,DELETE,301,Edge,1701,France,22,49,4,0.0,1,0.9999990000010001,0
191.88.76.211,GET,404,Bot,4660,Brazil,18,44,2,0.0,1,0.9999990000010001,0
171.255.141.195,DELETE,403,Firefox,1990,India,7,9,5,0.0,1,0.9999990000010001,0
113.222.33.90,GET,500,Firefox,3065,USA,3,45,3,0.0,1,0.9999990000010001,0
140.177.102.63,GET,200,Safari,4934,France,4,6,3,0.0,1,0.9999990000010001,0
35.180.8.0,DELETE,301,Firefox,3746,France,0,42,4,0.0,1,0.9999990000010001,0
165.234.77.139,GET,500,Chrome,1902,Brazil,4,22,6,0.0,1,1000000.0,0
250.85.227.30,DELETE,500,Firefox,2163,China,17,26,5,0.0,1,0.9999990000010001,0
204.190.139.31,PUT,200,Chrome,2775,Brazil,13,32,2,0.0,1,0.9999990000010001,0
133.159.253.125,DELETE,301,Bot,4204,Canada,14,42,4,0.0,1,0.9999990000010001,0
117.243.156.200,DELETE,301,Firefox,3232,India,8,29,5,0.0,1,0.9999990000010001,0
94.214.33.133,GET,404,Edge,2820,USA,8,10,0,0.0,1,0.9999990000010001,0
236.227.21.164,POST,301,Firefox,3745,USA,5,26,0,0.0,1,1000000.0,0
86.74.239.229,PUT,403,Bot,1328,India,17,58,5,0.0,1,0.9999990000010001,0
212.250.206.195,GET,200,Opera,3825,France,16,20,2,0.0,1,0.9999990000010001,0
123.158.124.14,GET,500,Chrome,4114,USA,17,3,5,0.0,1,0.9999990000010001,0
1.83.112.15,PUT,200,Edge,4680,France,12,3,5,0.0,1,0.9999990000010001,0
36.242.13.185,GET,301,Safari,2557,India,19,2,1,0.0,1,0.9999990000010001,0
88.85.79.46,GET,403,Bot,2505,Brazil,21,59,5,0.0,1,0.9999990000010001,0
109.13.38.196,GET,301,Edge,1368,USA,18,26,2,0.0,1,0.9999990000010001,0
85.125.191.118,GET,403,Chrome,1862,China,16,9,2,0.0,1,0.9999990000010001,0
150.145.246.118,GET,200,Safari,4652,China,20,22,6,0.0,1,1000000.0,0
164.134.49.63,DELETE,404,Bot,2020,China,3,44,2,0.0,1,0.9999990000010001,0
7.113.42.201,GET,301,Firefox,3006,France,1,33,5,0.0,1,0.9999990000010001,0
240.91.170.121,PUT,500,Chrome,3739,France,19,52,3,0.0,1,0.9999990000010001,0
64.129.189.100,POST,404,Opera,1922,China,10,11,5,0.0,1,0.9999990000010001,0
218.33.65.213,PUT,500,Opera,4485,India,4,23,5,0.0,1,0.9999990000010001,0
32.16.25.190,DELETE,500,Bot,2190,Canada,6,6,4,0.0,1,0.9999990000010001,0
231.243.224.246,DELETE,301,Safari,1918,China,10,56,4,0.0,1,0.9999990000010001,0
215.20.239.21,DELETE,500,Safari,4929,China,9,47,1,0.0,1,0.9999990000010001,0
133.241.110.1,POST,200,Firefox,2161,Canada,19,48,1,0.0,1,0.9999990000010001,0
206.134.61.172,PUT,301,Safari,4986,China,1,52,0,0.0,1,1000000.0,1
75.59.125.185,POST,500,Safari,1235,China,4,29,6,0.0,1,1000000.0,0
144.99.43.5,PUT,403,Safari,4113,India,19,11,0,0.0,1,0.9999990000010001,0
33.2.232.9,DELETE,200,Safari,3214,France,12,14,5,0.0,1,0.9999990000010001,0
71.5.203.87,PUT,500,Opera,1552,Canada,11,13,3,0.0,1,0.9999990000010001,0
165.141.188.22,DELETE,403,Opera,2152,India,12,14,6,0.0,1,1000000.0,0
44.25.131.188,PUT,403,Safari,1349,Canada,23,15,6,0.0,1,1000000.0,0
101.64.22.7,GET,200,Safari,2368,USA,5,8,0,0.0,1,1000000.0,0
119.38.171.197,POST,200,Bot,3737,France,1,34,2,0.0,1,0.9999990000010001,0
187.164.165.141,DELETE,403,Bot,4928,China,19,33,5,0.0,1,0.9999990000010001,0
181.173.38.135,POST,200,Safari,2527,Germany,19,54,4,0.0,1,0.9999990000010001,0
45.193.57.89,POST,301,Bot,2601,China,12,55,3,0.0,1,0.9999990000010001,0
59.255.45.31,GET,403,Bot,4489,India,19,10,5,0.0,1,0.9999990000010001,0
241.135.131.13,DELETE,301,Firefox,3576,Canada,15,7,2,0.0,1,0.9999990000010001,0
255.199.60.23,DELETE,200,Edge,3655,China,8,34,6,0.0,1,1000000.0,0
17.195.31.221,GET,200,Bot,3709,India,16,25,5,0.0,1,0.9999990000010001,0
154.40.18.28,POST,403,Chrome,3480,Germany,2,41,5,0.0,1,0.9999990000010001,0
173.163.6.139,POST,404,Safari,3181,Germany,6,4,3,0.0,1,0.9999990000010001,0
16.154.198.184,PUT,500,Chrome,4306,USA,21,24,6,0.0,1,1000000.0,0
166.129.163.194,DELETE,500,Edge,3720,Brazil,9,49,1,0.0,1,0.9999990000010001,0
147.168.156.203,PUT,301,Firefox,1976,Germany,12,52,4,0.0,1,0.9999990000010001,0
222.214.98.172,PUT,200,Bot,3377,Brazil,1,14,2,0.0,1,0.9999990000010001,1
151.159.180.68,GET,404,Firefox,1517,Germany,10,41,4,0.0,1,0.9999990000010001,0
84.36.190.250,GET,301,Safari,3260,France,0,11,2,0.0,1,0.9999990000010001,0
175.175.173.102,GET,500,Opera,2008,Germany,16,31,3,0.0,1,0.9999990000010001,0
186.37.153.49,GET,403,Firefox,1636,India,11,7,2,0.0,1,0.9999990000010001,0
156.159.137.200,GET,500,Bot,2800,Brazil,17,40,2,0.0,1,0.9999990000010001,1
134.86.139.1,GET,301,Edge,4481,China,13,37,4,0.0,1,0.9999990000010001,0
177.120.96.57,GET,301,Opera,2737,China,22,10,4,0.0,1,0.9999990000010001,0
75.118.229.193,PUT,500,Firefox,2652,USA,20,37,6,0.0,1,1000000.0,0
167.177.114.161,DELETE,500,Safari,2109,Brazil,8,28,6,0.0,1,1000000.0,0
6.173.188.196,POST,301,Edge,3896,France,15,6,5,0.0,1,0.9999990000010001,1
19.32.36.241,GET,500,Chrome,1482,Canada,21,49,6,0.0,1,1000000.0,0
50.80.30.141,PUT,404,Opera,2485,Canada,20,29,5,0.0,1,0.9999990000010001,0
37.134.81.164,PUT,301,Firefox,2575,France,15,25,1,0.0,1,0.9999990000010001,0
157.129.152.178,PUT,301,Firefox,4457,Germany,8,25,2,0.0,1,0.9999990000010001,0
56.40.251.131,DELETE,200,Opera,1374,Canada,11,56,4,0.0,1,0.9999990000010001,0
57.15.104.186,POST,200,Chrome,4041,France,21,31,6,0.0,1,1000000.0,0
112.1.176.51,GET,301,Chrome,4099,Brazil,3,46,6,0.0,1,1000000.0,0
114.144.186.45,GET,500,Chrome,4973,China,13,14,4,0.0,1,0.9999990000010001,0
245.1.202.129,GET,403,Opera,4945,USA,6,47,5,0.0,1,0.9999990000010001,0
254.65.175.175,PUT,404,Bot,1637,USA,13,55,5,0.0,1,0.9999990000010001,1
102.16.173.116,GET,200,Edge,2361,Canada,12,56,0,0.0,1,0.9999990000010001,0
197.117.133.61,POST,301,Bot,2614,Canada,3,58,6,0.0,1,1000000.0,0
193.144.17.33,PUT,200,Bot,4551,India,2,47,3,0.0,1,0.9999990000010001,0
6.176.1.42,PUT,404,Chrome,2844,USA,20,44,0,0.0,1,0.9999990000010001,0
92.178.4.152,DELETE,301,Safari,3957,Brazil,21,30,2,0.0,1,0.9999990000010001,0
119.103.200.147,DELETE,404,Chrome,4163,USA,11,50,4,0.0,1,0.9999990000010001,0
40.70.59.24,POST,404,Firefox,2230,USA,20,29,3,0.0,1,0.9999990000010001,0
8.38.7.192,GET,200,Bot,1353,India,21,40,3,0.0,1,0.9999990000010001,0
55.75.199.48,DELETE,404,Firefox,1188,Germany,23,55,4,0.0,1,0.9999990000010001,0
74.135.91.57,GET,404,Chrome,1511,Canada,12,8,0,0.0,1,0.9999990000010001,0
99.117.220.27,POST,301,Edge,1765,Canada,13,43,6,0.0,1,1000000.0,0
197.195.116.156,DELETE,200,Safari,1597,India,6,21,1,0.0,1,0.9999990000010001,1
185.205.19.221,DELETE,200,Opera,4614,China,9,7,0,0.0,1,0.9999990000010001,0
153.44.125.239,PUT,403,Edge,3401,China,12,34,3,0.0,1,0.9999990000010001,0
167.85.248.61,DELETE,403,Safari,3602,Germany,22,19,0,0.0,1,0.9999990000010001,0
80.207.13.87,PUT,200,Safari,3823,Brazil,14,16,4,0.0,1,0.9999990000010001,0
171.40.183.100,DELETE,403,Opera,4547,India,13,2,6,0.0,1,1000000.0,0
24.6.146.199,GET,500,Chrome,1416,France,12,51,1,0.0,1,0.9999990000010001,1
213.2.219.27,DELETE,404,Safari,3431,France,3,57,2,0.0,1,0.9999990000010001,0
194.93.80.171,POST,404,Safari,2247,France,3,25,6,0.0,1,1000000.0,0
87.26.5.85,DELETE,200,Safari,1528,Germany,14,48,3,0.0,1,0.9999990000010001,0
172.130.255.61,PUT,403,Opera,2241,China,14,41,0,0.0,1,0.9999990000010001,0
121.209.121.25,GET,404,Opera,3529,Brazil,23,24,1,0.0,1,0.9999990000010001,0
231.26.168.59,POST,500,Opera,2072,Canada,8,7,5,0.0,1,0.9999990000010001,0
113.242.121.207,DELETE,301,Chrome,1979,Brazil,10,16,4,0.0,1,0.9999990000010001,0
40.186.114.194,GET,301,Opera,1901,France,16,50,0,0.0,1,0.9999990000010001,1
176.20.76.30,POST,404,Opera,3321,China,8,49,6,0.0,1,1000000.0,0
46.236.170.230,DELETE,403,Edge,4114,Canada,12,53,4,0.0,1,0.9999990000010001,0
109.171.81.132,PUT,403,Bot,3620,Canada,6,48,1,0.0,1,0.9999990000010001,0
201.217.71.116,POST,404,Chrome,1226,Canada,10,0,5,0.0,1,0.9999990000010001,0
102.131.110.33,POST,403,Chrome,4679,Brazil,11,0,6,0.0,1,1000000.0,0
22.71.173.66,POST,301,Safari,2507,Canada,16,29,3,0.0,1,0.9999990000010001,0
163.29.11.226,POST,301,Firefox,2830,China,21,23,3,0.0,1,0.9999990000010001,0
105.157.44.34,POST,403,Firefox,3299,Canada,0,10,1,0.0,1,0.9999990000010001,0
170.43.30.236,GET,301,Edge,2547,Canada,16,31,6,0.0,1,1000000.0,0
214.83.100.202,POST,301,Safari,2783,France,4,44,2,0.0,1,0.9999990000010001,1
27.72.251.81,GET,500,Firefox,1472,India,18,22,2,0.0,1,0.9999990000010001,1
203.35.89.227,DELETE,404,Bot,3509,USA,7,17,0,0.0,1,0.9999990000010001,0
15.223.124.70,PUT,404,Firefox,1131,Canada,4,45,3,0.0,1,0.9999990000010001,0
41.187.155.0,POST,200,Edge,2623,Brazil,15,11,0,0.0,1,0.9999990000010001,0
183.113.116.233,PUT,403,Firefox,2258,China,18,29,0,0.0,1,0.9999990000010001,0
45.15.91.159,POST,404,Edge,1000,India,12,10,0,0.0,1,0.9999990000010001,0
59.235.220.193,POST,403,Edge,1405,Germany,4,55,4,0.0,1,0.9999990000010001,1
3.32.97.244,POST,500,Bot,4971,India,4,3,3,0.0,1,0.9999990000010001,0
48.89.100.175,PUT,200,Chrome,1639,Canada,15,13,1,0.0,1,0.9999990000010001,0
145.61.121.160,DELETE,500,Safari,2733,China,9,12,0,0.0,1,0.9999990000010001,0
232.170.182.188,POST,500,Chrome,3581,Brazil,4,13,3,0.0,1,0.9999990000010001,0
69.226.71.92,POST,200,Edge,2309,USA,18,17,6,0.0,1,1000000.0,0
156.65.182.16,GET,301,Safari,2543,USA,9,57,4,0.0,1,0.9999990000010001,0
242.98.224.252,PUT,500,Opera,3425,Canada,19,46,6,0.0,1,1000000.0,0
17.173.181.98,DELETE,403,Firefox,3785,Germany,23,47,4,0.0,1,0.9999990000010001,0
239.130.65.71,POST,301,Chrome,4014,India,6,8,1,0.0,1,0.9999990000010001,0
186.192.246.169,DELETE,200,Firefox,1036,France,10,49,5,0.0,1,0.9999990000010001,0
209.5.148.15,POST,500,Opera,4312,China,0,2,6,0.0,1,1000000.0,0
244.119.8.110,PUT,403,Opera,4205,Canada,13,40,2,0.0,1,0.9999990000010001,0
56.107.38.120,PUT,301,Opera,4053,India,16,6,1,0.0,1,0.9999990000010001,0
214.235.110.4,PUT,404,Edge,4509,China,22,10,2,0.0,1,0.9999990000010001,0
100.158.77.19,DELETE,403,Edge,3577,India,12,46,3,0.0,1,0.9999990000010001,0
229.19.155.41,PUT,404,Edge,2559,India,3,22,2,0.0,1,0.9999990000010001,0
83.2.44.178,PUT,404,Bot,1598,USA,14,3,1,0.0,1,0.9999990000010001,0
249.234.137.36,POST,200,Bot,3771,Germany,21,32,4,0.0,1,0.9999990000010001,0
253.199.157.2,POST,404,Firefox,3735,India,7,20,2,0.0,1,0.9999990000010001,0
111.55.99.249,GET,404,Chrome,4647,Germany,22,15,0,0.0,1,0.9999990000010001,0
74.15.158.160,PUT,200,Bot,4755,Germany,6,28,2,0.0,1,0.9999990000010001,0
61.66.110.149,DELETE,301,Safari,3017,Germany,9,41,5,0.0,1,0.9999990000010001,0
142.58.53.118,GET,404,Safari,1932,India,15,18,4,0.0,1,0.9999990000010001,0
185.82.155.197,PUT,403,Firefox,2312,India,0,6,6,0.0,1,1000000.0,0
79.24.246.162,GET,403,Edge,3377,France,6,34,5,0.0,1,0.9999990000010001,0
216.68.166.127,POST,301,Chrome,3593,Germany,20,30,5,0.0,1,0.9999990000010001,0
80.63.255.130,GET,200,Opera,1446,India,17,36,0,0.0,1,0.9999990000010001,0
15.31.175.196,GET,200,Firefox,2127,India,9,11,4,0.0,1,0.9999990000010001,0
28.138.58.164,PUT,301,Opera,4952,Canada,18,16,1,0.0,1,0.9999990000010001,0
82.11.233.183,GET,301,Edge,4461,USA,7,41,0,0.0,1,0.9999990000010001,0
24.16.87.0,DELETE,403,Bot,2072,France,11,57,2,0.0,1,0.9999990000010001,0
132.161.121.76,PUT,500,Chrome,3075,India,1,30,3,0.0,1,0.9999990000010001,0
26.16.92.179,POST,301,Safari,2149,Germany,15,35,6,0.0,1,1000000.0,0
92.92.239.190,GET,200,Safari,2254,India,0,0,3,0.0,1,0.9999990000010001,0
211.56.68.87,GET,403,Chrome,3023,USA,8,42,5,0.0,1,0.9999990000010001,0
220.18.87.188,PUT,301,Chrome,4046,Canada,4,21,0,0.0,1,1000000.0,0
152.113.232.107,GET,404,Bot,2839,China,22,59,6,0.0,1,1000000.0,0
160.147.242.24,GET,200,Edge,4540,Germany,3,19,1,0.0,1,0.9999990000010001,0
121.231.52.163,POST,301,Firefox,1634,China,18,40,1,0.0,1,0.9999990000010001,0
34.179.101.241,POST,301,Bot,1395,China,11,1,0,0.0,1,0.9999990000010001,0
127.136.178.170,DELETE,403,Opera,1120,USA,2,59,5,0.0,1,0.9999990000010001,0
14.241.85.217,POST,500,Safari,3723,Brazil,2,56,1,0.0,1,0.9999990000010001,0
43.57.230.240,GET,403,Opera,3613,USA,13,44,1,0.0,1,0.9999990000010001,0
78.230.146.4,POST,301,Firefox,4416,France,21,47,3,0.0,1,0.9999990000010001,0
34.23.221.35,POST,301,Firefox,4225,Canada,6,29,3,0.0,1,0.9999990000010001,0
116.81.152.201,PUT,500,Opera,2251,Canada,23,50,1,0.0,1,0.9999990000010001,0
173.223.96.69,GET,404,Edge,3474,France,3,52,6,0.0,1,1000000.0,0
158.25.194.226,POST,404,Bot,1725,Brazil,11,53,2,0.0,1,0.9999990000010001,0
68.76.202.131,DELETE,301,Bot,2172,Brazil,8,2,3,0.0,1,0.9999990000010001,0
245.206.202.224,GET,200,Firefox,2900,Germany,23,4,0,0.0,1,0.9999990000010001,0
86.144.177.151,POST,403,Bot,4374,USA,16,22,2,0.0,1,0.9999990000010001,0
33.249.112.43,PUT,200,Chrome,3303,Brazil,6,55,6,0.0,1,1000000.0,0
53.66.7.235,DELETE,403,Firefox,4022,Canada,19,16,6,0.0,1,1000000.0,0
1.72.31.102,GET,200,Chrome,3808,Brazil,11,59,5,0.0,1,0.9999990000010001,0
38.103.59.93,POST,404,Opera,1913,China,23,21,6,0.0,1,1000000.0,0
55.33.122.247,PUT,403,Edge,1864,USA,5,21,0,0.0,1,1000000.0,0
209.139.83.173,POST,500,Edge,2359,Germany,5,55,5,0.0,1,0.9999990000010001,0
127.18.45.249,POST,403,Bot,2139,China,14,29,3,0.0,1,0.9999990000010001,0
150.224.204.237,PUT,404,Bot,2186,France,11,20,2,0.0,1,0.9999990000010001,0
16.158.103.169,PUT,301,Firefox,4935,India,4,16,1,0.0,1,0.9999990000010001,0
107.114.190.97,PUT,500,Firefox,4771,Brazil,2,10,3,0.0,1,0.9999990000010001,0
109.50.115.10,DELETE,500,Opera,3840,Brazil,12,41,2,0.0,1,0.9999990000010001,0
145.54.166.34,DELETE,404,Opera,1609,China,7,18,0,0.0,1,0.9999990000010001,0
108.211.136.117,GET,301,Bot,1774,USA,2,31,0,0.0,1,1000000.0,0
77.192.34.198,GET,500,Firefox,1936,China,22,27,0,0.0,1,0.9999990000010001,0
202.87.192.63,POST,404,Safari,3702,India,16,40,1,0.0,1,0.9999990000010001,0
254.213.234.86,PUT,200,Safari,3731,Brazil,2,53,1,0.0,1,0.9999990000010001,0
211.226.234.133,DELETE,301,Firefox,4498,India,16,4,1,0.0,1,0.9999990000010001,0
244.100.11.211,PUT,200,Chrome,4279,China,19,35,5,0.0,1,0.9999990000010001,1
77.78.2.46,PUT,403,Edge,2333,USA,7,15,4,0.0,1,0.9999990000010001,0
194.65.13.119,DELETE,200,Bot,2517,Germany,12,54,1,0.0,1,0.9999990000010001,0
56.58.124.36,GET,200,Edge,4275,China,9,3,6,0.0,1,1000000.0,0
